aat_ruleOrder,Setup.started,Setup.stopped,participant,lang,date,expName,psychopyVersion,OS,frameRate,hub,task,AAT_instructions.started,AAT_instructions.stopped,AAT_prac_instructions.started,AAT_prac_instructions.stopped,AAT_fixation.started,AAT_fixation.stopped,AAT_practice_trial.started,AAT_practice_trial.stopped,aat_prac_img,aat_prac_RT,aat_prac_response,aat_prac_velocity,aat_prac_init_latency,aat_prac_reversal,aat_prac_distance,aat_prac_displacement,aat_prac_speed,aat_prac_move_time,aat_prac_correct,aat_prac_responded,aat_prac_loop.thisRepN,aat_prac_loop.thisTrialN,aat_prac_loop.thisN,aat_prac_loop.thisIndex,aat_prac_loop.ran,Food_item,Food_name,Category,Cat_name,Meat,Image_file0,Cond,Practice_image_file,AAT_block_start.started,AAT_block_start.stopped,AAT_trial.started,AAT_trial.stopped,aat_block,aat_food_item,aat_food_name,aat_category,aat_cond,aat_congruency,aat_img_file,aat_RT,aat_response,aat_velocity,aat_init_latency,aat_reversal,aat_distance,aat_displacement,aat_speed,aat_move_time,aat_correct,aat_responded,aat_trial_loop.thisRepN,aat_trial_loop.thisTrialN,aat_trial_loop.thisN,aat_trial_loop.thisIndex,aat_trial_loop.ran,AAT_break.started,AAT_break.stopped,Bye.started,Bye.stopped
,,,Marie-testing-againandagainandagaaaaain,fr,2026-04-21_11h19.01.465,AAT,2024.2.4,iPhone,50,https://run.pavlovia.org/LNS/hub/,AAT,,,,,36.463,37.063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.063,37.778,1,48,Sour candies,5,0,compatible,Items_pictures/48_sour_candy.png,0.632,approach,6.938159879,0.598,0,0.397435897,0.235897436,6.938159879,0.034,0,1,14,0,14,0,1,,,,
,,,Marie-testing-againandagainandagaaaaain,fr,2026-04-21_11h19.01.465,AAT,2024.2.4,iPhone,50,https://run.pavlovia.org/LNS/hub/,AAT,,,,,38.032,38.432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.433,39.003,1,17,"Salted nuts (Cashew, peanuts, pistacchios)",2,1,incompatible,Items_pictures/17_flips.png,0.498,avoid,9.074912016,0.464,0,0.404273504,0.308547009,9.074912016,0.034,0,1,15,0,15,0,1,,,,
,,,Marie-testing-againandagainandagaaaaain,fr,2026-04-21_11h19.01.465,AAT,2024.2.4,iPhone,50,https://run.pavlovia.org/LNS/hub/,AAT,,,,,39.268,39.935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.936,40.482,1,57,Fondant au chocolat,6,0,compatible,Items_pictures/57_fondant.png,0.464,approach,10.33912324,0.433,0,0.482051282,0.320512821,10.33912324,0.031,0,1,16,0,16,0,1,,,,
,,,Marie-testing-againandagainandagaaaaain,fr,2026-04-21_11h19.01.465,AAT,2024.2.4,iPhone,50,https://run.pavlovia.org/LNS/hub/,AAT,,,,,40.737,41.505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.505,42.103,1,5,Bell pepper,1,1,incompatible,Items_pictures/5_bell_pepper.png,0.514,avoid,8.49002849,0.484,0,0.299145325,0.254700855,6.324787194,0.03,0,1,17,0,17,0,1,,,,
,,,Marie-testing-againandagainandagaaaaain,fr,2026-04-21_11h19.01.465,AAT,2024.2.4,iPhone,50,https://run.pavlovia.org/LNS/hub/,AAT,,,,,42.357,42.974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.975,43.688,1,15,Flute,2,1,incompatible,Items_pictures/15_flute.png,0.631,avoid,5.215419501,0.582,1,0.411111059,0.255555556,6.192219413,0.049,0,1,18,0,18,0,1,,,,
,,,Marie-testing-againandagainandagaaaaain,fr,2026-04-21_11h19.01.465,AAT,2024.2.4,iPhone,50,https://run.pavlovia.org/LNS/hub/,AAT,,,,,43.943,44.611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.611,45.242,1,37,Pain au chocolat,4,0,compatible,Items_pictures/37_pain_chocolat.png,0.548,approach,7.591754651,0.514,0,0.382905983,0.258119658,7.591754651,0.034,0,1,19,0,19,0,1,,,,
,,,Marie-testing-againandagainandagaaaaain,fr,2026-04-21_11h19.01.465,AAT,2024.2.4,iPhone,50,https://run.pavlovia.org/LNS/hub/,AAT,,,,,45.496,46.164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.164,46.695,1,48,Sour candies,5,0,compatible,Items_pictures/48_sour_candy.png,0.447,approach,7.977207977,0.414,0,0.331623932,0.263247863,5.723905724,0.033,0,1,20,0,20,0,1,,,,
,,,Marie-testing-againandagainandagaaaaain,fr,2026-04-21_11h19.01.465,AAT,2024.2.4,iPhone,50,https://run.pavlovia.org/LNS/hub/,AAT,,,,,46.949,47.383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.383,47.981,1,51,Tiramisu,6,0,compatible,Items_pictures/51_tiramisu.png,0.515,approach,9.30115636,0.481,0,0.462393162,0.316239316,9.30115636,0.034,0,1,21,0,21,0,1,,,,
,,,Marie-testing-againandagainandagaaaaain,fr,2026-04-21_11h19.01.465,AAT,2024.2.4,iPhone,50,https://run.pavlovia.org/LNS/hub/,AAT,,,,,48.235,48.936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.937,49.568,1,11,Crisps,2,1,incompatible,Items_pictures/11_crisps.png,0.548,avoid,5.709401709,0.498,0,0.32991453,0.285470085,4.717948718,0.05,0,1,22,0,22,0,1,,,,
,,,Marie-testing-againandagainandagaaaaain,fr,2026-04-21_11h19.01.465,AAT,2024.2.4,iPhone,50,https://run.pavlovia.org/LNS/hub/,AAT,,,,,49.821,50.456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.456,51.708,1,4,Plain yogurt,1,0,compatible,Items_pictures/4_plain_yogurt.png,0.629,avoid,6.07580825,0.583,0,0.32991453,0.279487179,6.07580825,0.046,0,1,23,0,23,0,1,,,,
